"KRS","OrganizationName","LegalForm","Representatives","RepresentativesID","ConnectedOrganizations"
"110","""ZAKŁAD BUDYNKÓW KOMUNALNYCH I""","spółka z ograniczoną odpowiedzialnością","Marzena Fesnak","165523",""
"110","""ZAKŁAD BUDYNKÓW KOMUNALNYCH I""","spółka z ograniczoną odpowiedzialnością","Mieczysław Burzyk","414307",""
"110","""ZAKŁAD BUDYNKÓW KOMUNALNYCH I""","spółka z ograniczoną odpowiedzialnością","Wiesława Lizińska","1647410",""
"110","""ZAKŁAD BUDYNKÓW KOMUNALNYCH I""","spółka z ograniczoną odpowiedzialnością","Marcin Tumasz","2729308",""
"116","""SZOK""","spółka z ograniczoną odpowiedzialnością","Alicja Zegarska","1400185",""
"117","""POLSKIE WAFLE""","spółka z ograniczoną odpowiedzialnością","Ralf Stenger","2765751","'STENGER WAFFELN POLSKA': '207411'"
"121","""ALUCOM""","spółka z ograniczoną odpowiedzialnością","Janina Wojtas","1400280","'ANALOGIC.PL': '321892'"
"121","""ALUCOM""","spółka z ograniczoną odpowiedzialnością","Piotr Wojtas","1183062","'MAGNUS PROFIT': '606506', 'PROMED': '604729', 'ANALOGIC.PL': '321892', 'GRUPA DOM': '556597', 'TAKUMI POLSKA': '405948'"
"123","""KOMPLEKSOWE ZAOPATRZENIE BUDOWNICTWA - POŁUDNIE""","spółka z ograniczoną odpowiedzialnością","Renata Łaskawiec","986923",""
"123","""KOMPLEKSOWE ZAOPATRZENIE BUDOWNICTWA - POŁUDNIE""","spółka z ograniczoną odpowiedzialnością","Piotr Kita","1115343","'GEO-TERM POLSKA': '426336', 'BAJTLE': '697775', 'POLTARG GÓRNOŚLĄSKI': '170307', 'LAUREN PESO POLSKA': '347438'"
"123","""KOMPLEKSOWE ZAOPATRZENIE BUDOWNICTWA - POŁUDNIE""","spółka z ograniczoną odpowiedzialnością","Józef Łaskawiec","1115345","'NIKA II': '377948', 'EKO-TEAM': '405282', 'STOWARZYSZENIE MOTOKLUB ATV METEOR': '380272'"
"125","""BIURO RACHUNKOWE ""HST""""","spółka z ograniczoną odpowiedzialnością","Honorata Tyburczy","1400525",""
"125","""BIURO RACHUNKOWE ""HST""""","spółka z ograniczoną odpowiedzialnością","Stanisław Tyburczy","1115348","'TRANS-PAR': '525912'"
"127","""EWAN - FOL""","spółka z ograniczoną odpowiedzialnością","Władysław Kwaśniewski","1400814",""
"127","""EWAN - FOL""","spółka z ograniczoną odpowiedzialnością","Aneta Walczyńska","1400900",""
"127","""EWAN - FOL""","spółka z ograniczoną odpowiedzialnością","Ewa Kwaśniewska Zagroba","1400999",""
"129","""ZAKŁAD RZEŹNICZO-PRZETWÓRCZY SPÓŁKA JAWNA K.S.J.U. OCZKOWSCY""","spółka jawna","Mateusz Oczkowski","88833",""
"129","""ZAKŁAD RZEŹNICZO-PRZETWÓRCZY SPÓŁKA JAWNA K.S.J.U. OCZKOWSCY""","spółka jawna","Marcin Oczkowski","88834",""
"129","""ZAKŁAD RZEŹNICZO-PRZETWÓRCZY SPÓŁKA JAWNA K.S.J.U. OCZKOWSCY""","spółka jawna","Kazimierz Oczkowski","1115346",""
"133","""GOSPODARSTWO RYBACKIE ""TYŚMIENICA""""","spółka z ograniczoną odpowiedzialnością","Tadeusz Wójcik","1115349",""
"133","""GOSPODARSTWO RYBACKIE ""TYŚMIENICA""""","spółka z ograniczoną odpowiedzialnością","Przemysław Łagowski","1401160",""
"133","""GOSPODARSTWO RYBACKIE ""TYŚMIENICA""""","spółka z ograniczoną odpowiedzialnością","Andrzej Wójcik","1115350",""
"134","""FX MARKETING""","spółka z ograniczoną odpowiedzialnością","Dariusz Szewczyk","1401338","'FX GRUPA': '378591', 'FX WORK': '255338'"
"134","""FX MARKETING""","spółka z ograniczoną odpowiedzialnością","Sławomir Omilian","1401246",""
"136","""NOWO PRODUCTS""","spółka z ograniczoną odpowiedzialnością","Adam Czaja","518473","'NOWO BIS': '605492'"
"136","""NOWO PRODUCTS""","spółka z ograniczoną odpowiedzialnością","Stephan Wölk","3090542",""
"137","""RZESZÓWDIS""","spółka z ograniczoną odpowiedzialnością","Frédéric De Guitarre","3352463",""
"137","""RZESZÓWDIS""","spółka z ograniczoną odpowiedzialnością","Juan Morales","2931668",""
"137","""RZESZÓWDIS""","spółka z ograniczoną odpowiedzialnością","Denis Louis","2557035","'MALBORKDIS': '825085', 'MIELDIS': '635405', 'PRZEMYŚLDIS': '383222'"
"137","""RZESZÓWDIS""","spółka z ograniczoną odpowiedzialnością","Pascal Carreas","2908813",""
"137","""RZESZÓWDIS""","spółka z ograniczoną odpowiedzialnością","Alain Alazard","2908814",""
"137","""RZESZÓWDIS""","spółka z ograniczoną odpowiedzialnością","Joanna Dudek Louis","1115354",""
"137","""RZESZÓWDIS""","spółka z ograniczoną odpowiedzialnością","Denis Louis","2908797","'MALBORKDIS': '825085', 'MIELDIS': '635405', 'PRZEMYŚLDIS': '383222'"
"140","""GRYFIŃSKI KLUB KARATE""","stowarzyszenie kultury fizycznej","Piotr Serafin","1039517",""
"140","""GRYFIŃSKI KLUB KARATE""","stowarzyszenie kultury fizycznej","Bogusław Kosatka","135476",""
"140","""GRYFIŃSKI KLUB KARATE""","stowarzyszenie kultury fizycznej","Barbara Szulc","1401759",""
"140","""GRYFIŃSKI KLUB KARATE""","stowarzyszenie kultury fizycznej","Mariusz Prusik","1038765",""
"140","""GRYFIŃSKI KLUB KARATE""","stowarzyszenie kultury fizycznej","Roman Porwit","1039519",""
"140","""GRYFIŃSKI KLUB KARATE""","stowarzyszenie kultury fizycznej","Marek Hipsz","1401666","'ZACHODNIOPOMORSKI OKRĘGOWY ZWIĄZEK KARATE WKF I TRADYCYJNEGO': '135476'"
"140","""GRYFIŃSKI KLUB KARATE""","stowarzyszenie kultury fizycznej","Ryszard Puchacz","1401520","'PRZEDSIĘBIORSTWO BUDOWNICTWA DROGOWEGO I PRZEMYSŁOWEGO A.R. ""CONSTRUCTION""': '122738', 'AL CORSO': '29155'"
"140","""GRYFIŃSKI KLUB KARATE""","stowarzyszenie kultury fizycznej","Tomasz Goraj","1401590",""
"140","""GRYFIŃSKI KLUB KARATE""","stowarzyszenie kultury fizycznej","Marzena Marciniak","696999",""
"140","""GRYFIŃSKI KLUB KARATE""","stowarzyszenie kultury fizycznej","Grzegorz Handke","696998","'POLSKI ZWIĄZEK CHÓRÓW I ORKIESTR ODDZIAŁ W SZCZECINIE': '399808', 'STOWARZYSZENIE WOKALNE ""RES MUSICA""': '202251'"
"143","""TOWARZYSTWO POMOCY WZAJEMNEJ""","spółka z ograniczoną odpowiedzialnością","Anna Krajewska","1115352","'ARP': '547713', 'STOWARZYSZENIE ""POLSKI ZWIĄZEK IZB RZEMIEŚLNICZYCH""': '317106'"
"153","""ZAKŁAD DOŚWIADCZALNY INSTYTUTU ZOOTECHNIKI PIB - KOŁBACZ""","spółka z ograniczoną odpowiedzialnością","Ewelina Sobolewska Łukaszczuk","3176073",""
"153","""ZAKŁAD DOŚWIADCZALNY INSTYTUTU ZOOTECHNIKI PIB - KOŁBACZ""","spółka z ograniczoną odpowiedzialnością","Wojciech Szadel","3176074",""
