"OrganizationName","Representatives","ConnectedOrganizations"
"""CD PROJEKT""","Marcin Iwiński","'CD PROJEKT CENTRUM DYSTRYBUCYJNE'"
"""CD PROJEKT""","Paweł Zawodny","'YA.CARE', 'JUICE GAMES'"
"""CD PROJEKT""","Jeremiah Cohn",""
"""CD PROJEKT""","Agnieszka Pastuszak",""
"""CD PROJEKT""","Jan Wejchert","'WAYTOGROW', 'ITAXI.PL', 'ADRINO MOBILE', 'EMAIL NETWORK', 'JUSTTAG', 'DATATECH ADVISORY', 'WEJCHERT VENTURES', 'D-TECH MANAGEMENT', 'LEADR', 'AUDIENCE SOLUTIONS', 'WEJCHERT INVESTMENTS'"
"""CD PROJEKT""","Maciej Nielubowicz",""
"""CD PROJEKT""","Michał Bień",""
"""CD PROJEKT""","Arkadiusz Trojanowski",""
"""CD PROJEKT""","Piotr Karwowski","'GOG'"
"""CD PROJEKT""","Michał Nowakowski",""
"""CD PROJEKT""","Adam Badowski","'NAGLE', 'BF PROPERTIES'"
"""CD PROJEKT""","Piotr Nielubowicz","'GOG', 'CD PROJEKT CENTRUM DYSTRYBUCYJNE'"
"""CD PROJEKT""","Adam Kiciński","'KLUB SPORTOWY EQUINOVA', 'STOWARZYSZENIE POLSKIE GRY', 'GOG', 'CD PROJEKT CENTRUM DYSTRYBUCYJNE'"
"""CD PROJEKT""","Katarzyna Szwarc","'ALTUS AGENT TRANSFEROWY', 'GRUPA MDM', 'ROCKBRIDGE TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH', 'NEWAG'"
"""T.K.J. MATUSZEWSKI""","Kamilla Matuszewska",""
"""T.K.J. MATUSZEWSKI""","Tomasz Matuszewski","'W.M. SPECTRUM', 'W.M. SPECTRUM'"
"""T.K.J. MATUSZEWSKI""","Krzysztof Matuszewski",""
"""B. I J. BURY""","Bogdan Bury","'EDUCO BSH', 'BURY'"
"""B. I J. BURY""","Jacek Bury","'FUNDACJA PRZEDSIĘBIORCZOŚĆ ROZWÓJ EDUKACJA', 'EDUCO BSH', 'BURY', 'STOWARZYSZENIE KUPCÓW I PRODUCENTÓW ROLNYCH LUBELSZCZYZNY'"
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Joanna Sidor",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Grzegorz Kawecki",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Maciej Uberman",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Edward Ciupak",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Grzegorz Filip",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Krzysztof Gocko",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Krzysztof Bartłomowicz",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Leszek Pinkowski",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Katarzyna Długosz",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Andrzej Tadla",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Bartosz Jachimowski","'SANOCKIE STOWARZYSZENIE STRZELECKIE ""SAGITTARIUS""'"
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Marek Mrozowski",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Piotr Barański",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Grzegorz Konopka",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Janusz Walczyk",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Maciej Cieleń",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Wiesław Siwik",""
"""ZWIĄZEK ZAWODOWY PRACOWNIKÓW IZBY CELNEJ W PRZEMYŚLU""","Jacek Wojdylak",""
