"OrganizationName","Representatives","ConnectedOrganizations"
"""GANT DEVELOPMENT""","Tomasz Dziedziński",""
"""GANT DEVELOPMENT""","Magdalena Całus","'ELIDI', 'BIURO FINANSOWO PRAWNE INKASO'"
"""GANT DEVELOPMENT""","Piotr Hanaj","'ZAKŁAD NARZĘDZIOWY ""AS-TOOL""', 'PPHU ""LACTIS"" ANDREASIK, LIS', 'KRIOSYSTEM - MEDICA', '""CBM"" J. COŁOKIDZI', 'PHU LEKS', 'MAZURIA SPORT', 'STOWARZYSZENIE STRAŻY OCHRONY PRZYRODY W POLSCE', 'OLSZYŃSKIE STOWARZYSZENIE NA RZECZ BEZDOMNYCH ZWIERZĄT', 'STOWARZYSZENIE ROMÓW WE WROCŁAWIU ROMANI BACHT', 'PRASOWE ZAKŁADY GRAFICZNE', 'BRS EVENT', 'SZKOŁA NARCIARSKA I SUDECKI KLUB SPORTOWY AESCULAP', 'WCD', 'SIMBUD', 'LEKSUSS', 'HURTOWNIA WARZYW I OWOCÓW SPÓŁKA JAWNA W LIKWIDACJI TADEUSZ SEREK & MARZENA SEREK', 'MAGNICA', 'KANCELARIA INSOLWENCYJNA HPKM', 'SPÓŁDZIELNIA PRACY USŁUG MEBLARSKICH', 'RITE NRG', 'ADM COSME COMPANY DWORAK-MIKOŁAJCZAK, BUKOWSKA', 'SIBERPOL', 'HGKO INVEST', 'TESS POLAND', 'FUNDACJA ŚRI CZAJTANJA SANGA W POLSCE', 'NCT INWESTYCJE ŚWIĘTOKRZYSKIE I', 'COMFOROAD'"
"""GANT DEVELOPMENT""","Adam Michalski","'WROCŁAWSKI KLUB KARATE GOJU - RYU'"
"""GANT DEVELOPMENT""","Dariusz Zieliński",""
"""GANT DEVELOPMENT""","Tomasz Dudek","'GMT INVEST', 'SMART PLUS', 'SAUNA PLUS', 'TIME4TAPE PLUS', 'FLOOR-PLUS', 'DOMY PLUS', 'OZE PLUS', '4DACHY', 'POLSKI FUNDUSZ ROZWOJU', '4E'"
"""KÓŁKO ROLNICZE W STRACHOCINIE""","Lesław Orlikiewicz",""
"""KÓŁKO ROLNICZE W STRACHOCINIE""","Marian Daszyk","'STOWARZYSZENIE SPOŁECZNO-KULTURALNE SOŁTYSÓW GMINY SANOK'"
"""KÓŁKO ROLNICZE W STRACHOCINIE""","Mieczysław Kędzior",""
"""KÓŁKO ROLNICZE W STRACHOCINIE""","Władysław Kluska",""
"""KÓŁKO ROLNICZE W STRACHOCINIE""","Edward Daszyk",""
"""KÓŁKO ROLNICZE W STRACHOCINIE""","Zbigniew Wójtowicz","'STOWARZYSZENIE NA RZECZ ROZWOJU WSI STRACHOCINA'"
"""KÓŁKO ROLNICZE W STRACHOCINIE""","Ryszard Wojtoń",""
"""KÓŁKO ROLNICZE W STRACHOCINIE""","Jacek Wojtowicz","'BIESZCZADZKI KLUB POJAZDÓW ZABYTKOWYCH ""WETERAN""'"
"""STOWARZYSZENIE HOSPICJUM OPOLSKIE""","Ryszard Dratwa","'ZWIĄZEK ZAWODOWY PRACOWNIKÓW URZĘDU MARSZAŁKOWSKIEGO W OPOLU'"
"""STOWARZYSZENIE HOSPICJUM OPOLSKIE""","Marian Cisek",""
"""STOWARZYSZENIE HOSPICJUM OPOLSKIE""","Brygida Pieron",""
"""STOWARZYSZENIE HOSPICJUM OPOLSKIE""","Jarosław Wach",""
"""STOWARZYSZENIE HOSPICJUM OPOLSKIE""","Tadeusz Sławiński",""
"""STOWARZYSZENIE HOSPICJUM OPOLSKIE""","Elżbieta Kaliszan","'TOWARZYSTWO PRZYJACIÓŁ OPOLA', 'STOWARZYSZENIE PRZYJACIÓŁ HARCERSTWA W OPOLU'"
"""STOWARZYSZENIE HOSPICJUM OPOLSKIE""","Marian Niemiec","'FUNDACJA DIAKONII IM. MATKI EWY', 'CENTRUM MISJI I EWANGELIZACJI KOŚCIOŁA EWANGELICKO-AUGSBURSKIEGO W RZECZYPOSPOLITEJ POLSKIEJ'"
"""STOWARZYSZENIE HOSPICJUM OPOLSKIE""","Jan Dudzik",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","Mateusz Zarzycki",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","Marcin Seredyński",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","Paweł Ostrowski",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","Jakub Majewski",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","Rafał Pawelec",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","Filip Majewski",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","Daniel Aleksandrowicz",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","Adam Korytko",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","Marek Chudek",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","Piotr Seredyński",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","Krzysztof Aleksandrowicz",""
"""EKO 1""","Mirosław Żywicki","'ACTISTRAW', 'ENERGIA CZERWONKA', 'FUNDACJA CREATUS', 'KOOPRESS', 'STOWARZYSZENIE NEUROCHIRURGIA OLSZTYŃSKA ""KOPERNIK""', 'EKO 2'"
"""EKO 1""","Waldemar Zdrodowski","'MASTERPRESS', 'EKO 2'"
"""GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""""","Ewa Harkawy",""
"""GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""""","Andrea Pańczyk",""
"""GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""""","Irena Janów",""
"""GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""""","Sylwia Czaja",""
"""GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""""","Zygmunt Grądowy","'BANK SPÓŁDZIELCZY W ŁUBNIANACH'"
"""GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""""","Irmgarda Leusz",""
"""GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""""","Gabriela Jonientz",""
"""OCHOTNICZA STRAŻ POŻARNA PRZY ""BRODVIN"" PRACOWNICZA""","Tadeusz Kutermak",""
"""OCHOTNICZA STRAŻ POŻARNA PRZY ""BRODVIN"" PRACOWNICZA""","Michał Wieciech",""
"""OCHOTNICZA STRAŻ POŻARNA PRZY ""BRODVIN"" PRACOWNICZA""","Janusz Skrzyński",""
"""DKM REAL ESTATE""","Jarosław Parczewski","'DKM REAL ESTATE LIMITED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE', 'DKM KRAKÓW', 'DAVIDOFF, KLEEBERG AND MARESCH'"
"""DKM REAL ESTATE""","Aleksandra Grużewska","'DAVIDOFF, KLEEBERG AND MARESCH'"
"""DKM REAL ESTATE""","Raziel Davidoff",""
"""DKM REAL ESTATE""","Michael Clay",""
"""KOPRZYWNICKIE TOWARZYSTWO KULTURALNE""","Antoni Liśkiewicz",""
"""KOPRZYWNICKIE TOWARZYSTWO KULTURALNE""","Stanisław Pawlik",""
"""KOPRZYWNICKIE TOWARZYSTWO KULTURALNE""","Marek Majkowski","'FIRMA PRODUKCYJNO-USŁUGOWA EKO-AGRO-MED', 'STOWARZYSZENIE NA RZECZ OSÓB Z CHOROBĄ ALZHEIMERA'"
"""KOPRZYWNICKIE TOWARZYSTWO KULTURALNE""","Kazimierz Gorycki",""
"""KOPRZYWNICKIE TOWARZYSTWO KULTURALNE""","Anna Młodochowska",""
"""KOPRZYWNICKIE TOWARZYSTWO KULTURALNE""","Krystyna Koper Musiał",""
"""KOPRZYWNICKIE TOWARZYSTWO KULTURALNE""","Maria Banaś","'STOWARZYSZENIE NA RZECZ OSÓB Z CHOROBĄ ALZHEIMERA'"
"""DOWBUSZ""","Agnieszka Wojda",""
"""DOWBUSZ""","Jan Bielerzewski","'ROTARY CLUB KOSZALIN'"
"""DOWBUSZ""","Eugeniusz Dowbusz",""
"""DOWBUSZ""","Dariusz Graj",""
"""MCX""","Sylwia Miller","'MCX SYSTEMS'"
"""MCX""","Ewa Kozłowska",""
"""MCX""","Dariusz Rosiński","'TIME4ECOMMERCE', 'MCX SYSTEMS', 'MCX INVESTMENT', 'ENERGIA - ECO BIS', 'ENERGIA-ECO CISOWO', 'EDIKO'"
"""MCX""","Piotr Wiśniewski","'ENERGIA - ECO CISOWO 2', 'DCX INNOVATIONS', 'MCX INVESTMENT', 'ENERGIA - ECO BIS', 'ENERGIA-ECO CISOWO', 'ENERCO', 'EDIKO', 'POLSKA IZBA GOSPODARCZA ENERGETYKI ODNAWIALNEJ I ROZPROSZONEJ'"
"""KÓŁKO ROLICZE GNOJNO""","Tadeusz Grzybowski",""
"""KÓŁKO ROLICZE GNOJNO""","Andrzej Siemek","'OCHOTNICZA STRAŻ POŻARNA W GNOJNIE'"
"""KÓŁKO ROLICZE GNOJNO""","Wacław Kaczmarczyk",""
"""KÓŁKO ROLICZE GNOJNO""","Władysław Parzuchowski",""
"""KÓŁKO ROLICZE GNOJNO""","Tadeusz Zbrzeźny",""
"""KÓŁKO ROLICZE GNOJNO""","Jadwiga Gregorek",""
"""KÓŁKO ROLICZE GNOJNO""","Henryk Kosiński",""
"""KÓŁKO ROLNICZE W ŚMIGNIE""","Julian Kozioł","'KLUB SPORTOWY ""UGRUPOWANIE SPORTOWE - ŚMIGNO""'"
"""KÓŁKO ROLNICZE W ŚMIGNIE""","Paweł Kawa",""
"""KÓŁKO ROLNICZE W ŚMIGNIE""","Kazimierz Rusnarczyk",""
"""KÓŁKO ROLNICZE W ŚMIGNIE""","Janina Szatko",""
"""KÓŁKO ROLNICZE W ŚMIGNIE""","Stanisław Schabowski",""
"""KÓŁKO ROLNICZE W ŚMIGNIE""","Janusz Schab","'GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" LISIA GÓRA', 'KLUB SPORTOWY ""UGRUPOWANIE SPORTOWE - ŚMIGNO""', 'OCHOTNICZA STRAŻ POŻARNA W ŚMIGNIE'"
"""KÓŁKO ROLNICZE W ŚMIGNIE""","Tadeusz Starzyk","'OCHOTNICZA STRAŻ POŻARNA W ŚMIGNIE'"
"""KÓŁKO ROLNICZE W ŚMIGNIE""","Aleksander Kłęk",""
"""FUNDACJA WSPIERANIA REHABILITACJI OSÓB NIEPEŁNOSPRAWNYCH PRZEZ SPORTY WODNE HANDI""","Marian Goszczyński",""
"""FUNDACJA WSPIERANIA REHABILITACJI OSÓB NIEPEŁNOSPRAWNYCH PRZEZ SPORTY WODNE HANDI""","Sławomir Piasecki",""
"""FUNDACJA WSPIERANIA REHABILITACJI OSÓB NIEPEŁNOSPRAWNYCH PRZEZ SPORTY WODNE HANDI""","Michał Tomczak",""
"""FUNDACJA WSPIERANIA REHABILITACJI OSÓB NIEPEŁNOSPRAWNYCH PRZEZ SPORTY WODNE HANDI""","Grażyna Białecka Dorosz",""
"""OCHOTNICZA STRAŻ POŻARNA W WIERZBÓWCE""","Andrzej Komar",""
"""OCHOTNICZA STRAŻ POŻARNA W WIERZBÓWCE""","Bartłomiej Skowron",""
"""OCHOTNICZA STRAŻ POŻARNA W WIERZBÓWCE""","Rafał Jeżowski",""
"""OCHOTNICZA STRAŻ POŻARNA W WIERZBÓWCE""","Wojciech Marszał",""
"""OCHOTNICZA STRAŻ POŻARNA W WIERZBÓWCE""","Dariusz Rudnik",""
"""OCHOTNICZA STRAŻ POŻARNA W WIERZBÓWCE""","Piotr Iwanek","'LOKALNA GRUPA DZIAŁANIA ""JAGIELLOŃSKA PRZYSTAŃ""', 'STOWARZYSZENIE SOŁTYSÓW GMINY PARCZEW'"
"""OCHOTNICZA STRAŻ POŻARNA W WIERZBÓWCE""","Dariusz Gęborys",""
"""OCHOTNICZA STRAŻ POŻARNA W WIERZBÓWCE""","Zbigniew Marszał",""
"""STOWARZYSZENIE ""NOWA SZKOŁA"" W LUBASZOWEJ""","Stanisław Bernal",""
"""STOWARZYSZENIE ""NOWA SZKOŁA"" W LUBASZOWEJ""","Barbara Dusza","'STOWARZYSZENIE ""EDUKACJA DROGĄ DO SUKCESU""'"
"""STOWARZYSZENIE ""NOWA SZKOŁA"" W LUBASZOWEJ""","Stanisław Lachowicz",""
"""STOWARZYSZENIE ""NOWA SZKOŁA"" W LUBASZOWEJ""","Janusz Turaj",""
"""STOWARZYSZENIE ""NOWA SZKOŁA"" W LUBASZOWEJ""","Józef Osika",""
"""STOWARZYSZENIE ""NOWA SZKOŁA"" W LUBASZOWEJ""","Andrzej Lisak","'OCHOTNICZA STRAŻ POŻARNA W LUBASZOWEJ'"
"""STOWARZYSZENIE ""NOWA SZKOŁA"" W LUBASZOWEJ""","Antoni Onak",""
"""STOWARZYSZENIE ""NOWA SZKOŁA"" W LUBASZOWEJ""","Władysław Czuba",""
"""STOWARZYSZENIE ""NOWA SZKOŁA"" W LUBASZOWEJ""","Maria Łątka",""
"""STOWARZYSZENIE ""NOWA SZKOŁA"" W LUBASZOWEJ""","Andrzej Okaz",""
"""STOWARZYSZENIE ""NOWA SZKOŁA"" W LUBASZOWEJ""","Elżbieta Łempa","'AKTYWNI LUBASZOWIANIE', 'POGÓRZAŃSKIE STOWARZYSZENIE ROZWOJU'"
"""STOWARZYSZENIE ""NOWA SZKOŁA"" W LUBASZOWEJ""","Kazimierz Baran",""
"""STOWARZYSZENIE ""NOWA SZKOŁA"" W LUBASZOWEJ""","Wojciech Łempa",""
"""STOWARZYSZENIE ""NOWA SZKOŁA"" W LUBASZOWEJ""","Kazimierz Łątka","'LUDOWY KLUB SPORTOWY ""BIAŁA"" W LUBASZOWEJ'"
"""STOWARZYSZENIE ""NOWA SZKOŁA"" W LUBASZOWEJ""","Stanisław Osika","'OCHOTNICZA STRAŻ POŻARNA W LUBASZOWEJ'"
